,NUTS3_ID,NUTS1_NAME,NUTS2_NAME,NUTS3_NAME,POSTAL_CODE,CLASSIFICATION
688,DE94F,Niedersachsen,Weser-Ems,Vechta,49429,PR
689,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60306,PU
690,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60308,PU
691,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60310,PU
692,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60313,PU
693,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60314,PU
694,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60316,PU
695,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60318,PU
696,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60320,PU
697,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60322,PU
698,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60323,PU
699,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60325,PU
700,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60326,PU
701,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60327,PU
702,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60329,PU
703,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60385,PU
704,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60386,PU
705,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60388,PU
706,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60389,PU
707,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60431,PU
708,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60433,PU
709,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60435,PU
710,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60437,PU
711,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60438,PU
712,DE712,Hessen,Darmstadt,"Frankfurt am Main, Kreisfreie Stadt",60439,PU
713,DE127,Baden-Württemberg,Karlsruhe,Neckar-Odenwald-Kreis,69427,PR
714,DE127,Baden-Württemberg,Karlsruhe,Neckar-Odenwald-Kreis,74865,PR
715,DE127,Baden-Württemberg,Karlsruhe,Neckar-Odenwald-Kreis,74867,PR
716,DE127,Baden-Württemberg,Karlsruhe,Neckar-Odenwald-Kreis,74847,PR
717,DE127,Baden-Württemberg,Karlsruhe,Neckar-Odenwald-Kreis,74706,PR
718,DE127,Baden-Württemberg,Karlsruhe,Neckar-Odenwald-Kreis,74743,PR
719,DE127,Baden-Württemberg,Karlsruhe,Neckar-Odenwald-Kreis,74869,PR
720,DE127,Baden-Württemberg,Karlsruhe,Neckar-Odenwald-Kreis,69429,PR
721,DE128,Baden-Württemberg,Karlsruhe,Rhein-Neckar-Kreis,69245,PU
722,DE128,Baden-Württemberg,Karlsruhe,Rhein-Neckar-Kreis,74909,PU
723,DE128,Baden-Württemberg,Karlsruhe,Rhein-Neckar-Kreis,74931,PU
724,DE128,Baden-Württemberg,Karlsruhe,Rhein-Neckar-Kreis,69493,PU
725,DE129,Baden-Württemberg,Karlsruhe,"Pforzheim, Stadtkreis",75172,PU
726,DE129,Baden-Württemberg,Karlsruhe,"Pforzheim, Stadtkreis",75173,PU
727,DE129,Baden-Württemberg,Karlsruhe,"Pforzheim, Stadtkreis",75175,PU
728,DE129,Baden-Württemberg,Karlsruhe,"Pforzheim, Stadtkreis",75177,PU
729,DE129,Baden-Württemberg,Karlsruhe,"Pforzheim, Stadtkreis",75179,PU
730,DE129,Baden-Württemberg,Karlsruhe,"Pforzheim, Stadtkreis",75180,PU
731,DE129,Baden-Württemberg,Karlsruhe,"Pforzheim, Stadtkreis",75181,PU
732,DE12A,Baden-Württemberg,Karlsruhe,Calw,72213,PR
733,DE12B,Baden-Württemberg,Karlsruhe,Enzkreis,75239,PU
734,DE12B,Baden-Württemberg,Karlsruhe,Enzkreis,71297,PU
735,DE12B,Baden-Württemberg,Karlsruhe,Enzkreis,75305,PU
736,DE12B,Baden-Württemberg,Karlsruhe,Enzkreis,75242,PU
737,DE12C,Baden-Württemberg,Karlsruhe,Freudenstadt,72293,PR
738,DE135,Baden-Württemberg,Freiburg,Rottweil,72175,PR
739,DE141,Baden-Württemberg,Tübingen,Reutlingen,72582,IN
740,DE141,Baden-Württemberg,Tübingen,Reutlingen,72584,IN
741,DE141,Baden-Württemberg,Tübingen,Reutlingen,72760,IN
742,DE141,Baden-Württemberg,Tübingen,Reutlingen,72762,IN
743,DE141,Baden-Württemberg,Tübingen,Reutlingen,72764,IN
744,DE141,Baden-Württemberg,Tübingen,Reutlingen,72766,IN
745,DE141,Baden-Württemberg,Tübingen,Reutlingen,72768,IN
746,DE141,Baden-Württemberg,Tübingen,Reutlingen,72770,IN
747,DE141,Baden-Württemberg,Tübingen,Reutlingen,72587,IN
748,DE141,Baden-Württemberg,Tübingen,Reutlingen,72531,IN
749,DE142,Baden-Württemberg,Tübingen,"Tübingen, Landkreis",72138,IN
750,DE119,Baden-Württemberg,Stuttgart,Hohenlohekreis,74677,IN
751,DE21K,Bayern,Oberbayern,"Rosenheim, Landkreis",83233,IN
752,DE21K,Bayern,Oberbayern,"Rosenheim, Landkreis",83129,IN
753,DE21K,Bayern,Oberbayern,"Rosenheim, Landkreis",83134,IN
754,DE21K,Bayern,Oberbayern,"Rosenheim, Landkreis",83122,IN
755,DE21K,Bayern,Oberbayern,"Rosenheim, Landkreis",83137,IN
756,DE21M,Bayern,Oberbayern,Traunstein,83242,PR
757,DE21M,Bayern,Oberbayern,Traunstein,83313,PR
758,DE226,Bayern,Niederbayern,Kelheim,84085,PR
759,DE227,Bayern,Niederbayern,"Landshut, Landkreis",84030,PR
760,DE227,Bayern,Niederbayern,"Landshut, Landkreis",84061,PR
761,DE227,Bayern,Niederbayern,"Landshut, Landkreis",84184,PR
762,DE22A,Bayern,Niederbayern,Rottal-Inn,84364,PR
763,DE22A,Bayern,Niederbayern,Rottal-Inn,84332,PR
764,DE22C,Bayern,Niederbayern,Dingolfing-Landau,84163,PR
765,DE22C,Bayern,Niederbayern,Dingolfing-Landau,84164,PR
766,DE275,Bayern,Schwaben,Aichach-Friedberg,86568,IN
767,DE275,Bayern,Schwaben,Aichach-Friedberg,86556,IN
768,DE275,Bayern,Schwaben,Aichach-Friedberg,86415,IN
769,DE275,Bayern,Schwaben,Aichach-Friedberg,86574,IN
770,DE276,Bayern,Schwaben,"Augsburg, Landkreis",86399,IN
771,DE276,Bayern,Schwaben,"Augsburg, Landkreis",86494,IN
772,DE276,Bayern,Schwaben,"Augsburg, Landkreis",86343,IN
773,DE276,Bayern,Schwaben,"Augsburg, Landkreis",86707,IN
774,DE278,Bayern,Schwaben,Günzburg,86483,PR
775,DE27C,Bayern,Schwaben,Unterallgäu,86825,PR
776,DE27D,Bayern,Schwaben,Donau-Ries,86641,PR
777,DE214,Bayern,Oberbayern,Altötting,84518,IN
778,DE214,Bayern,Oberbayern,Altötting,84553,IN
779,DE214,Bayern,Oberbayern,Altötting,84571,IN
780,DE214,Bayern,Oberbayern,Altötting,84579,IN
781,DE214,Bayern,Oberbayern,Altötting,84543,IN
782,DE215,Bayern,Oberbayern,Berchtesgadener Land,83451,IN
783,DE215,Bayern,Oberbayern,Berchtesgadener Land,83458,IN
784,DE216,Bayern,Oberbayern,Bad Tölz-Wolfratshausen,83674,IN
785,DE216,Bayern,Oberbayern,Bad Tölz-Wolfratshausen,83679,IN
786,DE218,Bayern,Oberbayern,Ebersberg,85658,IN
787,DE218,Bayern,Oberbayern,Ebersberg,85652,IN
788,DE219,Bayern,Oberbayern,Eichstätt,85095,IN
789,DE219,Bayern,Oberbayern,Eichstätt,85135,IN
790,DE21A,Bayern,Oberbayern,Erding,85461,PR
791,DE21A,Bayern,Oberbayern,Erding,85465,PR
792,DE21A,Bayern,Oberbayern,Erding,85456,PR
793,DE21B,Bayern,Oberbayern,Freising,84104,IN
794,DE21B,Bayern,Oberbayern,Freising,85777,IN
795,DE21B,Bayern,Oberbayern,Freising,85368,IN
796,DE21B,Bayern,Oberbayern,Freising,85405,IN
797,DE21B,Bayern,Oberbayern,Freising,85376,IN
798,DE21F,Bayern,Oberbayern,Miesbach,83730,IN
799,DE21F,Bayern,Oberbayern,Miesbach,83700,IN
800,DE21G,Bayern,Oberbayern,Mühldorf a. Inn,84428,PR
