,age,income,RLK2022,no_cars,CO2_cruise,CO2_flight,CO2_public_transport,CO2_car_total,CO2_mobility,belief_diff_mobility,cluster_id
260,37,5000.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,83.0,2
261,33,6000.0,sehr zentral,1.0,1897.0,11260.0,0.0,3581.82,16738.82,-9.0,0
262,21,1500.0,sehr zentral,1.0,0.0,1204.0,107.8,1611.819,2923.619,-17.0,1
263,25,7000.0,sehr zentral,1.0,0.0,14766.5,107.8,1037.124,15911.424,-13.0,1
264,28,1500.0,sehr zentral,0.0,0.0,399.0,107.8,0.0,506.8,23.0,2
265,39,4000.0,zentral,1.0,0.0,1064.0,107.8,358.182,1529.982,40.0,2
266,37,5000.0,zentral,0.0,0.0,2660.0,107.8,0.0,2767.8,20.0,2
267,33,3500.0,zentral,1.0,0.0,798.0,0.0,1170.0,1968.0,-36.0,3
268,26,3700.0,peripher,1.0,0.0,0.0,107.8,3581.82,3689.62,-17.0,1
269,27,4000.0,sehr zentral,0.0,0.0,6100.0,107.8,0.0,6207.8,-37.0,2
270,35,3000.0,zentral,0.0,0.0,1596.0,107.8,0.0,1703.8,-16.0,2
271,30,5000.0,sehr zentral,0.0,0.0,8008.0,107.8,0.0,8115.8,-33.0,2
272,23,0.0,sehr zentral,3.0,0.0,532.0,107.8,5436.83,6076.63,-36.0,1
273,44,3500.0,zentral,2.0,0.0,532.0,107.8,4912.377,5552.177,-38.0,1
274,34,4800.0,zentral,1.0,0.0,1204.0,0.0,2411.513,3615.513,-7.0,3
275,31,3400.0,sehr zentral,0.0,0.0,3238.0,107.8,0.0,3345.8,-18.0,2
276,22,1500.0,peripher,1.0,0.0,3972.0,107.8,584.5202,4664.3202,-61.0,1
277,19,5000.0,peripher,1.0,0.0,532.0,107.8,371.002,1010.802,-5.0,1
278,42,8500.0,sehr zentral,1.0,0.0,1720.0,107.8,1253.637,3081.437,12.0,1
279,30,5600.0,sehr zentral,1.0,0.0,2463.0,107.8,2686.365,5257.165,-6.0,1
280,21,3500.0,peripher,1.0,0.0,1596.0,107.8,1.432728,1705.232728,-7.0,2
281,25,1000.0,sehr zentral,1.0,0.0,9576.0,107.8,2411.513,12095.313,-26.0,1
282,63,1100.0,zentral,1.0,0.0,0.0,107.8,895.455,1003.255,37.0,2
283,18,2000.0,sehr zentral,1.0,0.0,7660.8,107.8,1790.91,9559.51,-65.0,1
284,61,2800.0,peripher,1.0,0.0,0.0,0.0,2782.515,2782.515,-13.0,3
285,34,4200.0,sehr zentral,1.0,0.0,3543.12,107.8,4656.366,8307.286,-49.0,1
286,27,1200.0,sehr zentral,0.0,0.0,4793.0,107.8,0.0,4900.8,20.0,2
287,27,4000.0,zentral,1.0,0.0,2660.0,107.8,3581.82,6349.62,13.0,1
288,38,1400.0,sehr zentral,0.0,0.0,798.0,107.8,0.0,905.8,-5.0,2
289,26,4000.0,sehr zentral,1.0,0.0,12108.0,107.8,388.9215,12604.7215,-59.0,1
290,43,3800.0,zentral,1.0,0.0,0.0,107.8,6666.0,6773.8,-38.0,1
291,21,3000.0,zentral,1.0,0.0,532.0,107.8,1790.91,2430.71,-6.0,1
292,28,4000.0,sehr zentral,0.0,542.0,13920.0,107.8,0.0,14569.8,-8.0,0
293,23,4500.0,zentral,1.0,0.0,4660.0,107.8,7163.64,11931.44,-75.0,1
294,30,6000.0,zentral,1.0,0.0,0.0,107.8,1944.6075,2052.4075,-30.0,1
295,48,2200.0,sehr zentral,1.0,0.0,8113.0,107.8,1432.728,9653.528,5.0,1
296,21,3000.0,sehr zentral,2.0,0.0,1064.0,107.8,1822.96,2994.76,-25.0,1
297,34,1000.0,sehr zentral,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2
298,43,3500.0,zentral,1.0,67750.0,1995.0,107.8,2686.365,72539.165,-28.0,0
299,25,1200.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-7.0,2
300,32,4000.0,sehr zentral,2.0,542.0,798.0,107.8,6856.738,8304.538,-57.0,0
301,32,1400.0,sehr zentral,0.0,12195.0,9350.64,107.8,0.0,21653.44,-66.0,0
302,26,5300.0,zentral,2.0,0.0,4582.0,0.0,8954.55,13536.55,-41.0,3
303,23,2400.0,peripher,1.0,1897.0,665.0,0.0,2686.365,5248.365,1.0,0
304,73,1200.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,22.0,2
305,28,4000.0,sehr zentral,0.0,0.0,1596.0,107.8,0.0,1703.8,-8.0,2
306,31,4000.0,sehr zentral,0.0,0.0,172.0,107.8,0.0,279.8,-14.0,2
307,25,7000.0,sehr zentral,1.0,0.0,1064.0,107.8,895.455,2067.255,-10.0,1
308,26,1600.0,zentral,0.0,0.0,0.0,107.8,0.0,107.8,8.0,2
309,23,815.0,zentral,0.0,0.0,266.0,107.8,0.0,373.8,-1.0,2
310,33,2000.0,sehr zentral,1.0,0.0,0.0,107.8,259.281,367.081,16.0,2
311,62,5000.0,sehr zentral,0.0,0.0,704.0,107.8,0.0,811.8,-1.0,2
312,55,1300.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,30.0,2
313,27,6000.0,peripher,3.0,0.0,0.0,0.0,5771.907,5771.907,-48.0,3
314,23,3000.0,peripher,1.0,0.0,0.0,0.0,1296.405,1296.405,-1.0,3
315,39,3200.0,zentral,1.0,0.0,0.0,107.8,3581.82,3689.62,23.0,1
316,25,7000.0,sehr zentral,1.0,0.0,1330.0,107.8,0.0,1437.8,19.0,1
317,40,3000.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,19.0,2
318,29,1400.0,zentral,0.0,0.0,5020.0,107.8,0.0,5127.8,-13.0,2
319,34,2000.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-2.0,2
320,24,1200.0,sehr zentral,0.0,9485.0,28674.2,0.0,0.0,38159.2,-81.0,0
321,60,6000.0,sehr zentral,1.0,0.0,0.0,107.8,2686.365,2794.165,-5.0,1
322,33,1200.0,zentral,0.0,0.0,1330.0,107.8,0.0,1437.8,-12.0,2
